chapterno,stageno,blockno,questioncode,questiontext,question_requirement,optiona,optionb,optionc,optiond,correctanswer,repeatcount,isgolden,repeatcount_ministerial,explanation
1,3,1,ch1-p03-045,This pencil is really old. You can / throw away / it. (Correct the form of the verb),Correct the form of the verb,This pencil is really old. You can throw it away,This pencil is really old. You can throw it away every day.,This pencil is really old. You can throw it aways,had away,This pencil is really old. You can throw it away,1,True,3,"✅ الجواب الصحيح: This pencil is really old. You can throw it away
📌 راجع قاعدة Correct the form of the verb في الكتاب المدرسي"
1,3,2,ch1-p03-050,An average of eight hours a night is about right. (Use an Imperative to give advice),Use an Imperative to give advice,You should get enough steep.,Please get enough steep.,Get enough steep,Don't forget to get enough steep.,Get enough steep,1,True,3,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: Get enough steep"
1,3,3,ch1-p03-041,These trousers were too long so (l\took up\them) to make them fit. (Put in the correct order),Put in the correct order,took them up I,I up them took,up them took I,I took them up,I took them up,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: I took them up"
1,3,4,ch1-p03-042,Can you (pick up/it)? (Put phrasal verb in order),Put phrasal verb in order,Can you pick it up?,you pick it up? Can,Can up? it pick you,up? it pick you Can,Can you pick it up?,1,False,2,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: Can you pick it up?"
1,3,5,ch1-p03-043,I've already / turn down / it . ( Put in the correct order ),Correct the verb,I'v already turn it down,I'v already turn it down every day.,I'v already turn it downs,had down,I'v already turn it down,1,False,2,"✅ الجواب الصحيح: I'v already turn it down
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,3,6,ch1-p03-044,I'll /turn down lit /in a minute. (Put in the correct order),Put in the correct order,turn it down in a minute I'll,I'll minute a in down it turn,I'll turn it down in a minute,minute a in down it turn I'll,I'll turn it down in a minute,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: I'll turn it down in a minute"
1,3,7,ch1-p03-046,I can't remember when I / took up / it . (Put in the correct order),Put in the correct order,can't remember when I took it up I,I up it took I when remember can't,I can't remember when I took it up,up it took I when remember can't I,I can't remember when I took it up,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: I can't remember when I took it up "
1,3,8,ch1-p03-047,Can you / turn down / it? ( Put in the correct order ),Correct the verb,Can you turn it down ? every day.,Can you turn it down ?,Can you turn it down ?s,had ?,Can you turn it down ?,1,False,1,"✅ الجواب الصحيح: Can you turn it down ?
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,3,9,ch1-p03-048,Can you / the music /turn down? (put in the correct order),put in the correct order,turn the music down.     Or : turn down the music,the music down. Or : turn down the music turn,turn music the down turn : Or down. music the,music the down turn : Or down. music the turn,turn the music down.     Or : turn down the music,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: turn the music down.     Or : turn down the music"
1,3,10,ch1-p03-049,They'll / pick up / him / from the airport . (Put phrasal verb in order),Put phrasal verb in order,him up pick,pick him up,pick up him,up him pick,pick him up,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: pick him up"
1,3,11,ch1-p03-052,.............It's the most important meal of the day. (Use an imperative to give advice),Use an imperative to give advice,Never miss breakfast,You should miss breakfast.,Please miss breakfast.,Don't forget to miss breakfast.,Never miss breakfast,1,False,1,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: Never miss breakfast"
1,3,12,ch1-p03-055,................... Make sure you are up to date with vaccinations and take malaria medication if necessary. ( Use an imperative to give advice ),Correct the verb,Be safe when you travel,Be safe when you travel every day.,Be safe when you travels,had travel,Be safe when you travel,1,False,2,"✅ الجواب الصحيح: Be safe when you travel
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,3,13,ch1-p03-056,"........................Ideally, do sport three times a week for an hour. If you hate sport, go for a 20-minute walk every day. ( Use an imperative to give advice)",Correct the verb,Take some exercises every day every day.,Take some exercises every days,had day,Take some exercises every day,Take some exercises every day,1,False,2,"✅ الجواب الصحيح: Take some exercises every day
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,3,14,ch1-p03-057,"She (wear) glasses, but now she has contact lenses. (Use the correct form of -used to)",Use the correct form of -used to,"She used to wear glasses, but now she has contact lenses",was wearing,would wear,didn't use to wear,"She used to wear glasses, but now she has contact lenses",1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: She used to wear glasses, but now she has contact lenses"
1,3,15,ch1-p03-059,"I (have) a bicycle, but someone (steal) it last week. (Use the correct form of [use to[ and the present or past simple)",Correct the verb,was haveing,"used to have a bicycle, but someone stole it last week",would have,didn't use to have,"used to have a bicycle, but someone stole it last week",1,False,2,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: used to have a bicycle, but someone stole it last week"
1,3,16,ch1-p03-060,"She (not / be) so thin, but she got very ill last year and lost a lot of weight. (Use the correct form of: use to)",Use the correct form of: use to,"She didn't use to be so thin, but she got very ill last year and lost a lot of weight every day.","She didn't use to be so thin, but she got very ill last year and lost a lot of weight","She didn't use to be so thin, but she got very ill last year and lost a lot of weights",had weight,"She didn't use to be so thin, but she got very ill last year and lost a lot of weight",1,False,2,"✅ الجواب الصحيح: She didn't use to be so thin, but she got very ill last year and lost a lot of weight
📌 راجع قاعدة Use the correct form of: use to في الكتاب المدرسي"
1,3,17,ch1-p03-061,"He (like) going out, but now he always wants to stay at home, (use the correct form of: use to)",use the correct form of: use to,was likeing,would like,didn't use to like,"He used to like going out, but now he always wants to stay at home","He used to like going out, but now he always wants to stay at home",1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: He used to like going out, but now he always wants to stay at home"
1,3,18,ch1-p03-062,Cities (not be) polluted. (Used to),Used to,used to cities be polluted,Cities didn't use to be polluted,doesn't use to cities be polluted,wouldn't cities be polluted,Cities didn't use to be polluted,1,False,1,"✅ used to + فعل = عادة ماضية انتهت
📌 مثال: I used to play football = كنت ألعب كرة (لكن الآن لا)
❌ النفي: didn't use to | السؤال: Did...use to?
🔑 الجواب: Cities didn't use to be polluted"
1,3,19,ch1-p03-051,.............And brush your teeth three times a day. (Use an imperative to give advice),Use an imperative to give advice,You should see the dentist for regular checkups.,Please see the dentist for regular checkups.,See the dentist for regular checkups,Don't forget to see the dentist for regular checkups.,See the dentist for regular checkups,1,True,3,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: See the dentist for regular checkups"
1,3,20,ch1-p03-053,"...............At least a liter and half every day. Tea, coffee, and soft drinks are not water. (Use an imperative to give advice)",Use an imperative to give advice,You should drink plenty of water.,Please drink plenty of water.,Don't forget to drink plenty of water.,Drink plenty of water,Drink plenty of water,1,True,4,"✅ Imperative = أمر مباشر
📌 الشكل: ابدأ بالفعل مباشرة بدون subject
❌ لا تكتب You should أو Please
🔑 الجواب: Drink plenty of water"
