chapterno,stageno,blockno,questioncode,questiontext,question_requirement,optiona,optionb,optionc,optiond,correctanswer,repeatcount,isgolden,repeatcount_ministerial,explanation
1,2,1,ch1-p02-035,WI was ice — skating and I ( fall ) over. (Correct the form of the verb),Correct the form of the verb,falls,is falling,was falling,fell,fell,1,True,3,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: fell"
1,2,2,ch1-p02-036,like those shoes. Can I (try \on\ them)? (Put in the correct order),Put in the correct order,like those shoes .Can I try them on? I,I on? them try I .Can shoes those like,I like those shoes .Can I try them on?,on? them try I .Can shoes those like I,I like those shoes .Can I try them on?,1,True,5,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: I like those shoes .Can I try them on?"
1,2,3,ch1-p02-019,He (drive) too fast when suddenly a boy (run) into the road.,Correct the verb,was driving,drove,drives,is driving,was driving,1,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was driving"
1,2,4,ch1-p02-020,I(think)about you and then you rang me. (Correct the verb),Correct the verb,was thinking,thinked,thinks,is thinking,was thinking,1,False,1,"✅ الجواب الصحيح: was thinking
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,2,5,ch1-p02-021,"While I (read) a story, I (hear) a strange noise. (Correct)",Correct,readed,reads,"was reading, heard",is reading,"was reading, heard",1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was reading, heard"
1,2,6,ch1-p02-023,She (tell) us to be quiet as we were making too much noise. (Correct the form of the verb),Correct the form of the verb,tells,is telling,told,was telling,told,1,False,2,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: told"
1,2,7,ch1-p02-025,"When I met her at the airport, Muna ( wear ) along blue dress. (Correct the form of the verb)",Correct the form of the verb,was wearing,weared,wears,is wearing,was wearing,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was wearing"
1,2,8,ch1-p02-026,They (camp) in the desert when they saw a large snake.(Correct the form of the verb in the brackets),Correct the form of the verb in the brackets,camped,camps,were camping,is camping,were camping,1,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: were camping"
1,2,9,ch1-p02-027,"While Ali (have) a shower, somebody (knock) at the front door.(Correct the form of the verb)",Correct the form of the verb,had,has,is having,"was having , knocked","was having , knocked",1,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was having , knocked"
1,2,10,ch1-p02-028,"As she (carry) the shopping from the car, my grandmother slipped and broke her ankle. (Correct the form of the verb in brackets)",Correct the form of the verb in brackets,carryed,was carrying,carrys,is carrying,was carrying,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was carrying"
1,2,11,ch1-p02-029,A thief took our clothes while we (swim). (Correct the form of the verb),Correct the form of the verb,swam,swims,is swimming,A thief took our clothes while we were swimming,A thief took our clothes while we were swimming,1,False,2,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: A thief took our clothes while we were swimming"
1,2,12,ch1-p02-030,My sister hid my purse under the bed while I ……………(not / look)(Correct the form of the ver,Correct the verb,wasn't looking,was looking,didn't look,isn't looking,wasn't looking,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: wasn't looking"
1,2,13,ch1-p02-031,was driving to hospital when my mobile phone (ring) (Correct the form of the vert,Correct the verb,rings,is ringing,rang,was ringing,rang,1,False,1,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: rang"
1,2,14,ch1-p02-032,"A bee flew in the kitchen through the open window while I (make) a birthday cake , ( Correct the form of the verb)",Correct the verb,made,was making,makes,is making,was making,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was making"
1,2,15,ch1-p02-033,"While I was eating breakfast, a bird (flow) into the kitchen. (correct the form of the verb)",correct the form of the verb,flew   or : flowed,flew   or : flowed every day.,flew   or : floweds,had flowed,flew   or : flowed,1,False,1,"✅ Past Simple = فعل انتهى في الماضي
📌 مع when = الحدث القاطع يكون Past Simple
🔑 الجواب: flew   or : flowed"
1,2,16,ch1-p02-034,"While Ali (have) a shower, somebody knocked at the front door. (Correct the form of the verb)",Correct the form of the verb,had,has,was having,is having,was having,1,False,1,"✅ Past Continuous مع while/as/when
📌 الحدث المستمر: was/were + فعل+ing
📌 الحدث القاطع: Past Simple
🔑 الجواب: was having"
1,2,17,ch1-p02-038,Smoking is terriblc. You should (give / up / it) (Put in the correct order),give / up / it,gave,Smoking is terrible. You should give It up,gives,is giving,Smoking is terrible. You should give It up,1,False,1,"✅ الجواب الصحيح: Smoking is terrible. You should give It up 
📌 راجع قاعدة give / up / it في الكتاب المدرسي"
1,2,18,ch1-p02-040,Most smokers (take up/it) as teenagers. (Put in the correct order),Put in the correct order,it up take,take it up,take up it,up it take,take it up,1,False,1,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: take it up"
1,2,19,ch1-p02-037,"Stamp -collecting is a nice hobby, when did you (it-up-take)? [Put in the correct order]",Correct the verb,"Stamp -collecting is a nice hobby, when did you take it up? every day.","Stamp -collecting is a nice hobby, when did you take it up?s","Stamp -collecting is a nice hobby, when did you take it up?",had up?,"Stamp -collecting is a nice hobby, when did you take it up?",1,True,3,"✅ الجواب الصحيح: Stamp -collecting is a nice hobby, when did you take it up?
📌 راجع قاعدة Correct the verb في الكتاب المدرسي"
1,2,20,ch1-p02-039,I can't remember when I (tool( up / it). (Put in the correct order),Put in the correct order,it up took,took it up,took up it,up it took,took it up,1,True,3,"✅ Phrasal Verb مع ضمير: الضمير يكون بين الكلمتين
📌 مثال: turn it down ✅ | turn down it ❌
📌 مع اسم: يمكن قبل أو بعد: turn down the music ✅
🔑 الجواب: took it up"
